        Frequency / MHz                Z1,1 (5)/abs,linear
----------------------------------------------------------------------
                      40                       103.58742
                   40.02                       103.34709
                   40.04                       103.10689
                   40.06                       102.86682
                   40.08                       102.62689
                    40.1                       102.38709
                   40.12                       102.14742
                   40.14                       101.90788
                   40.16                       101.66848
                   40.18                        101.4292
                    40.2                       101.19006
                   40.22                       100.95106
                   40.24                       100.71218
                   40.26                       100.47343
                   40.28                       100.23482
                    40.3                       99.996334
                   40.32                       99.757981
                   40.34                       99.519758
                   40.36                       99.281666
                   40.38                       99.043705
                    40.4                       98.805873
                   40.42                       98.568172
                   40.44                         98.3306
                   40.46                       98.093158
                   40.48                       97.855846
                    40.5                       97.618662
                   40.52                       97.381608
                   40.54                       97.144683
                   40.56                       96.907887
                   40.58                       96.671219
                    40.6                        96.43468
                   40.62                       96.198269
                   40.64                       95.961986
                   40.66                       95.725832
                   40.68                       95.489805
                    40.7                       95.253906
                   40.72                       95.018134
                   40.74                        94.78249
                   40.76                       94.546973
                   40.78                       94.311584
                    40.8                       94.076321
                   40.82                       93.841185
                   40.84                       93.606176
                   40.86                       93.371293
                   40.88                       93.136537
                    40.9                       92.901906
                   40.92                       92.667402
                   40.94                       92.433024
                   40.96                       92.198772
                   40.98                       91.964645
                      41                       91.730644
                   41.02                       91.496768
                   41.04                       91.263017
                   41.06                       91.029392
                   41.08                       90.795891
                    41.1                       90.562515
                   41.12                       90.329264
                   41.14                       90.096138
                   41.16                       89.863136
                   41.18                       89.630258
                    41.2                       89.397504
                   41.22                       89.164874
                   41.24                       88.932369
                   41.26                       88.699987
                   41.28                       88.467728
                    41.3                       88.235593
                   41.32                       88.003582
                   41.34                       87.771694
                   41.36                       87.539929
                   41.38                       87.308286
                    41.4                       87.076767
                   41.42                       86.845371
                   41.44                       86.614097
                   41.46                       86.382946
                   41.48                       86.151917
                    41.5                       85.921011
                   41.52                       85.690227
                   41.54                       85.459564
                   41.56                       85.229024
                   41.58                       84.998606
                    41.6                       84.768309
                   41.62                       84.538134
                   41.64                       84.308081
                   41.66                       84.078149
                   41.68                       83.848338
                    41.7                       83.618649
                   41.72                       83.389081
                   41.74                       83.159633
                   41.76                       82.930307
                   41.78                       82.701101
                    41.8                       82.472017
                   41.82                       82.243053
                   41.84                       82.014209
                   41.86                       81.785486
                   41.88                       81.556883
                    41.9                         81.3284
                   41.92                       81.100038
                   41.94                       80.871796
                   41.96                       80.643673
                   41.98                       80.415671
                      42                       80.187788
                   42.02                       79.960026
                   42.04                       79.732382
                   42.06                       79.504859
                   42.08                       79.277455
                    42.1                        79.05017
                   42.12                       78.823005
                   42.14                       78.595959
                   42.16                       78.369032
                   42.18                       78.142225
                    42.2                       77.915536
                   42.22                       77.688967
                   42.24                       77.462516
                   42.26                       77.236184
                   42.28                       77.009971
                    42.3                       76.783877
                   42.32                       76.557902
                   42.34                       76.332045
                   42.36                       76.106307
                   42.38                       75.880687
                    42.4                       75.655186
                   42.42                       75.429803
                   42.44                       75.204539
                   42.46                       74.979393
                   42.48                       74.754365
                    42.5                       74.529455
                   42.52                       74.304664
                   42.54                        74.07999
                   42.56                       73.855435
                   42.58                       73.630998
                    42.6                       73.406679
                   42.62                       73.182478
                   42.64                       72.958395
                   42.66                        72.73443
                   42.68                       72.510583
                    42.7                       72.286854
                   42.72                       72.063243
                   42.74                       71.839749
                   42.76                       71.616373
                   42.78                       71.393116
                    42.8                       71.169976
                   42.82                       70.946953
                   42.84                       70.724049
                   42.86                       70.501262
                   42.88                       70.278593
                    42.9                       70.056042
                   42.92                       69.833609
                   42.94                       69.611293
                   42.96                       69.389095
                   42.98                       69.167015
                      43                       68.945053
                   43.02                       68.723209
                   43.04                       68.501482
                   43.06                       68.279873
                   43.08                       68.058382
                    43.1                       67.837009
                   43.12                       67.615754
                   43.14                       67.394617
                   43.16                       67.173597
                   43.18                       66.952696
                    43.2                       66.731913
                   43.22                       66.511247
                   43.24                         66.2907
                   43.26                       66.070271
                   43.28                        65.84996
                    43.3                       65.629768
                   43.32                       65.409693
                   43.34                       65.189737
                   43.36                       64.969899
                   43.38                        64.75018
                    43.4                        64.53058
                   43.42                       64.311097
                   43.44                       64.091734
                   43.46                       63.872489
                   43.48                       63.653363
                    43.5                       63.434356
                   43.52                       63.215468
                   43.54                       62.996699
                   43.56                       62.778049
                   43.58                       62.559519
                    43.6                       62.341108
                   43.62                       62.122816
                   43.64                       61.904643
                   43.66                       61.686591
                   43.68                       61.468658
                    43.7                       61.250845
                   43.72                       61.033152
                   43.74                       60.815579
                   43.76                       60.598127
                   43.78                       60.380795
                    43.8                       60.163583
                   43.82                       59.946492
                   43.84                       59.729522
                   43.86                       59.512673
                   43.88                       59.295945
                    43.9                       59.079338
                   43.92                       58.862853
                   43.94                       58.646489
                   43.96                       58.430248
                   43.98                       58.214128
                      44                        57.99813
                   44.02                       57.782255
                   44.04                       57.566502
                   44.06                       57.350872
                   44.08                       57.135365
                    44.1                       56.919981
                   44.12                       56.704721
                   44.14                       56.489584
                   44.16                       56.274571
                   44.18                       56.059682
                    44.2                       55.844917
                   44.22                       55.630277
                   44.24                       55.415761
                   44.26                       55.201371
                   44.28                       54.987106
                    44.3                       54.772967
                   44.32                       54.558953
                   44.34                       54.345066
                   44.36                       54.131305
                   44.38                        53.91767
                    44.4                       53.704163
                   44.42                       53.490783
                   44.44                       53.277531
                   44.46                       53.064407
                   44.48                       52.851411
                    44.5                       52.638543
                   44.52                       52.425805
                   44.54                       52.213196
                   44.56                       52.000717
                   44.58                       51.788367
                    44.6                       51.576149
                   44.62                       51.364061
                   44.64                       51.152104
                   44.66                       50.940279
                   44.68                       50.728587
                    44.7                       50.517026
                   44.72                       50.305599
                   44.74                       50.094305
                   44.76                       49.883144
                   44.78                       49.672118
                    44.8                       49.461227
                   44.82                       49.250471
                   44.84                       49.039851
                   44.86                       48.829367
                   44.88                        48.61902
                    44.9                        48.40881
